localResource,localName,wikidata,wikidataLabel,coords,streetAddress
http://example.org/resource/Campo/85,Centro_Deportivo_Municipal_Aluche,http://www.wikidata.org/entity/Q63191263,Centro Deportivo Municipal Aluche,,"Avenida de las Águilas, 14, 28044 Madrid"
http://example.org/resource/Campo/584,Centro_Deportivo_Municipal_Falix_Rubio,http://www.wikidata.org/entity/Q63191223,Centro Deportivo Municipal Félix Rubio,,
http://example.org/resource/Campo/70033,Centro_Deportivo_Municipal_Francisco_Fernandez_Ochoa,http://www.wikidata.org/entity/Q63191262,Centro Deportivo Municipal Francisco Fernández Ochoa,,"Calle Catorce Olivas, 1, 28054 Madrid"
http://example.org/resource/Campo/100227,Centro_Deportivo_Municipal_Gallur,http://www.wikidata.org/entity/Q63191274,Centro Deportivo Municipal Gallur,Point(-3.737847833 40.398540976),
http://example.org/resource/Campo/1475,Centro_Deportivo_Municipal_Gallur,http://www.wikidata.org/entity/Q63191274,Centro Deportivo Municipal Gallur,Point(-3.737847833 40.398540976),
http://example.org/resource/Campo/682,Centro_Deportivo_Municipal_Gallur,http://www.wikidata.org/entity/Q63191274,Centro Deportivo Municipal Gallur,Point(-3.737847833 40.398540976),
http://example.org/resource/Campo/1927,Centro_Deportivo_Municipal_La_Elipa,http://www.wikidata.org/entity/Q63191248,Centro Deportivo Municipal La Elipa,,
http://example.org/resource/Campo/95,Centro_Deportivo_Municipal_La_Fundi,http://www.wikidata.org/entity/Q63191213,Centro Deportivo Municipal La Fundi,,
http://example.org/resource/Campo/996,Centro_Deportivo_Municipal_Moratalaz,http://www.wikidata.org/entity/Q85751287,Centro Deportivo Municipal Moratalaz,Point(-3.631409 40.398031),
http://example.org/resource/Campo/991,Centro_Deportivo_Municipal_Moratalaz,http://www.wikidata.org/entity/Q85751287,Centro Deportivo Municipal Moratalaz,Point(-3.631409 40.398031),
http://example.org/resource/Campo/367,Centro_Deportivo_Municipal_Palomeras,http://www.wikidata.org/entity/Q63191260,Centro Deportivo Municipal Palomeras,,
http://example.org/resource/Campo/103,Centro_Deportivo_Municipal_Vicente_del_Bosque,http://www.wikidata.org/entity/Q63191252,Centro Deportivo Municipal Vicente del Bosque,,
http://example.org/resource/Campo/845,PABELLON_1_CIUDAD_DE_LOS_POETAS,http://www.wikidata.org/entity/Q28793905,Instalación Deportiva Ciudad de los Poetas,Point(-3.718733333 40.465994444),
http://example.org/resource/Campo/70034,PABELLaN_3_FCO.FDEZ.OCHOA,http://www.wikidata.org/entity/Q63191262,Centro Deportivo Municipal Francisco Fernández Ochoa,,"Calle Catorce Olivas, 1, 28054 Madrid"
http://example.org/resource/Campo/374,Plata_y_Castaaar_park,http://www.wikidata.org/entity/Q6078000,parque de Plata y Castañar,Point(-3.71842 40.34784),
http://example.org/resource/Campo/385,Plata_y_Castaaar_park,http://www.wikidata.org/entity/Q6078000,parque de Plata y Castañar,Point(-3.71842 40.34784),
http://example.org/resource/Campo/871,Q135957017,http://www.wikidata.org/entity/Q135957017,Centro Deportivo Municipal La Chopera,Point(-3.686194444 40.41225),
