nombreCampo,nombreDistrito,totalPartidos
Centro_Deportivo_Municipal_Moratalaz,Moratalaz,292
FaTBOL_7_1_FCO.FDEZ.OCHOA,Carabanchel,285
FaTBOL_7_1_FCO.FDEZ.OCHOA,Hortaleza,285
CDM_LA_ELIPA_PISTA_EXTERIOR,Chamartan,269
CDM_LA_ELIPA_PISTA_EXTERIOR,Moratalaz,269
CDM_LA_ELIPA_PISTA_EXTERIOR,Salamanca,269
FaTBOL_7_1_FAUSTINA_VALLADOLID,Vicalvaro,260
FaTBOL_7_C2_MARGOT_MOLES,Vicalvaro,255
Q135957017,Retiro,230
FaTBOL_7-1_LA_CHOPERA,Retiro,218
Estadio_Chamartan,Chamartan,217
CDM_CONCEPCIaN_PABELLaN_CUBIERTO,Ciudad_Lineal,209
PISTA_3_PABELLaN_PALOMERAS,Puente_de_Vallecas,209
FaTBOL_7_PRADILLO,Chamartan,208
FaTBOL_7_PRADILLO,Fuencarral-El_Pardo,208
PISTA_2_BALONCESTO_ALUCHE_/_GR,Latina,207
OID_PQ_SANTANDER:EXT:FS_-_CHAMBERI,Chambera,205
CAMPO_FaTBOL-7_TORRESPAaA,Salamanca,200
FaTBOL_7A_LA_ELIPA,Moratalaz,199
FaTBOL_7A_LA_ELIPA,Salamanca,199
