deporte,numEquipos
association football,1089
CAZA,490
futsal,442
auto racing,365
CICLISMO,357
padel,282
MOTOCICLISMO,206
gymnastics,193
basketball,182
athletics,172
chess,156
equestrian sport,147
mountaineering,146
surfing,144
skating,138
PESCA E CASTING,120
sailing,118
tennis,112
shooting sports,101
orienteering,98
VOLEIBOL,97
KICKBOXING E MUAYTHAI,94
dancesport,93
competitive swimming,88
petanque,79
handball,79
table tennis,79
TRÍATLON E PENTATLÓN MODERNO,78
taekwondo,77
canoeing and kayaking,74
boxing,72
karate,71
HOCKEY,71
JUDO E D.A.,68
LOITA E D.A.,64
archery,64
DEPORTE XERAL,51
rowing,51
CHAVE,51
pool,47
bowling,46
ACTIVIDADES SUBACUÁTICAS,44
air sports,38
rugby sevens,38
weightlifting,32
golf,32
BÉISBOL E SÓFTBOL,26
RADIOCONTROL,25
SALVAMENTO E SOCORRISMO,23
fencing,21
badminton,20
kung fu,20
DEPORTE ADAPTADO,20
COLUMBÓFILA,19
powerboating,12
BILLARDA,11
FÚTBOL AMERICANO,10
squash,8
COLOMBICULTURA,8
caving,8
DEPORTES DE INVERNO,7
TIRO A VOO,7
DEPORTES AUTÓCTONOS,5
PELOTA,5
AERONÁUTICA,5
DEPORTES PARA MINUSVÁLIDOS PSÍQUICOS,4
DEPORTES DE PERSOAS CON DISCAPACIDADE FÍSICA,3
water skiing,3
