item,inception,coord,itemLabel,instanceOfLabel,officialWebsite
http://www.wikidata.org/entity/Q12400937,1921-01-01T00:00:00Z,Point(-8.887182687 42.782783163),Q12400937,teatro,
http://www.wikidata.org/entity/Q12400943,1850-01-01T00:00:00Z,Point(-7.854537937 43.684465802),Q12400943,teatro,
http://www.wikidata.org/entity/Q12397271,2002-01-01T00:00:00Z,Point(-8.695575562 43.211446162),Cultural Center of Carballo,teatro,
http://www.wikidata.org/entity/Q85819399,1996-01-01T00:00:00Z,Point(-8.40006 43.3556),Biblioteca Municipal de A Coruña - Fórum Metropolitano,biblioteca pública,http://www.coruna.es/bibliotecas
http://www.wikidata.org/entity/Q85819399,1996-01-01T00:00:00Z,Point(-8.40006 43.3556),Biblioteca Municipal de A Coruña - Fórum Metropolitano,biblioteca sucursal,http://www.coruna.es/bibliotecas
http://www.wikidata.org/entity/Q12397270,,Point(-8.195212388 43.496212446),Palau de Cultura de Narón,teatro,
http://www.wikidata.org/entity/Q12397270,,Point(-8.195212388 43.496212446),Palau de Cultura de Narón,edificio,
http://www.wikidata.org/entity/Q11951077,1892-01-01T00:00:00Z,Point(-8.23368 43.4824),Teatro Jofre,teatro,http://www.ferrol.es/jofre_es/Paginas/SelEvento.aspx
http://www.wikidata.org/entity/Q12400945,1878-01-01T00:00:00Z,Point(-8.646257833 42.432433),Teatro Principal de Pontevedra,teatro,
http://www.wikidata.org/entity/Q12400946,1868-01-01T00:00:00Z,Point(-8.39861 43.3703),Teatro Rosalía de Castro,teatro,https://www.coruna.gal/cultura/es/espacios/detalle-para-entidad/teatro-rosalia-castro/entidad/1150819583294?argIdioma=es
