space,spaceName,municipalityName,provinceName,capacity
http://example.org/resource/espazo/Auditorio%20Pazo%20de%20Congresos,Auditorio Pazo de Congresos,Ourense,Ourense,925
http://example.org/resource/espazo/Pazo%20da%20Cultura%20de%20Nar%C3%B3n,Pazo da Cultura de Narón,Narón,A Coruña Province,900
http://example.org/resource/espazo/Auditorio%20Municipal%20Gustavo%20Freire,Auditorio Municipal Gustavo Freire,Lugo,Lugo Province,850
http://example.org/resource/espazo/Casa%20da%20Cultura%20%20,Casa da Cultura  ,Burela,Lugo Province,824
http://example.org/resource/espazo/Auditorio%20Roc%C3%ADo%20Jurado,Auditorio Rocío Jurado,Cangas,Pontevedra Province,754
http://example.org/resource/espazo/Auditorio%20Roc%C3%ADo%20Jurado,Auditorio Rocío Jurado,Vilagarcía de Arousa,Pontevedra Province,754
http://example.org/resource/espazo/Pazo%20da%20Cultura%20de%20Pontevedra,Pazo da Cultura de Pontevedra,Pontevedra,Pontevedra Province,752
http://example.org/resource/espazo/Auditorio%20Roc%C3%ADo%20Jurado,Auditorio Rocío Jurado,Cangas,Pontevedra Province,690
http://example.org/resource/espazo/Auditorio%20Roc%C3%ADo%20Jurado,Auditorio Rocío Jurado,Vilagarcía de Arousa,Pontevedra Province,690
http://example.org/resource/espazo/Teatro%20Rosal%C3%ADa%20de%20Castro,Teatro Rosalía de Castro,A Coruña,A Coruña Province,662
